elo,name,date,year,color,id,Master_id
1475.2576680189932,Bournemouth,2019-08-31T14:00:00Z,2019-20,#DA291C,3.0,2.0
1570.7171263631737,Man City,2019-08-31T14:00:00Z,2019-20,#6CABDD,11.0,15.0
1470.7591779106442,Brighton,2019-08-31T14:00:00Z,2019-20,#0057B8,4.0,4.0
1476.6288415640593,Newcastle,2019-08-31T14:00:00Z,2019-20,#241F20,13.0,17.0
1432.404325877282,Watford,2019-08-31T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1524.6170769719795,West Ham,2019-08-31T14:00:00Z,2019-20,#7A263A,19.0,25.0
1450.365900440469,Norwich,2019-08-31T14:00:00Z,2019-20,#FFF200,14.0,18.0
1480.2064109970067,Burnley,2019-08-31T16:30:00Z,2019-20,#6C1D45,5.0,5.0
1591.6067500845113,Liverpool,2019-08-31T16:30:00Z,2019-20,#C8102E,10.0,13.0
1518.7507264262395,Everton,2019-09-01T13:00:00Z,2019-20,#003399,8.0,8.0
1476.052957777216,Wolves,2019-09-01T13:00:00Z,2019-20,#FDB913,20.0,26.0
1522.5854834522024,Arsenal,2019-09-01T15:30:00Z,2019-20,#EF0107,1.0,0.0
1496.8430251902396,Spurs,2019-09-01T15:30:00Z,2019-20,#132257,17.0,22.0
1608.622777833563,Liverpool,2019-09-14T11:30:00Z,2019-20,#C8102E,10.0,13.0
1459.6128138150075,Newcastle,2019-09-14T11:30:00Z,2019-20,#241F20,13.0,17.0
1471.4387934883916,Brighton,2019-09-14T14:00:00Z,2019-20,#0057B8,4.0,4.0
1479.5267954192593,Burnley,2019-09-14T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1522.8135181315895,Man Utd,2019-09-14T14:00:00Z,2019-20,#DA291C,12.0,16.0
1519.3310957431206,Leicester,2019-09-14T14:00:00Z,2019-20,#003090,9.0,12.0
1472.4384156037136,Sheffield Utd,2019-09-14T14:00:00Z,2019-20,#EE2737,15.0,20.0
1510.2367399180632,Southampton,2019-09-14T14:00:00Z,2019-20,#D71920,16.0,21.0
1524.0000915823841,Spurs,2019-09-14T14:00:00Z,2019-20,#132257,17.0,22.0
